id,ley,resumen,ciudad,fecha_aprobacion,fecha_promulgacion,url,tema,subtemas,latitud,longitud
lp_23,00566,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Concepción Argani Llanos con No. de cédula de identidad 4329643 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001- 0889-0016 consignado como PM-117 Manzano ""F"", inmerso en la Planímetria de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 191,10 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954.",La Paz,10/10/2025,10/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00566.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.449842,-68.145542
lp_24,00567,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Silvia Mamani Nina con No. de cédula de identidad 6000877 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001-0885-0017, ubicado en la calle 17 No.1023 inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 191,50 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954.",La Paz,10/10/2025,10/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00567.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.4510642,-68.1462066
lp_25,00568,"TÉCNICO JURÍDICO.- Se Autoriza la enajenación a título oneroso a favor de Edith Mariela Galvez Choque con No. de cédula de identidad 4795186 QR del predio de, propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001-0897-0006, consignado como Lote PM-281, manzano P, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 204,30 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N 2.01.0.99.0023954.",La Paz,26/11/2025,26/11/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00568.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.4476388,-68.1446181
lp_26,00569,"BIENES MUNICIPALES.- Autorizar la Enajenación a Título Oneroso a favor de Rufilea Fernández Choque con Cédula de Identidad N° 2632916 L.P. y Viviana Rojas Fernández con Cédula de Identidad N° 5941656 L.P. del lote de propiedad del Gobierno Autónomo Municipal de La Paz, signado con el N° 5, de la manzana ""D2"", con una superficie de 102,77 m² ubicado en la Av. 9 de abril de la zona Faro Murillo, con Código Catastral N° 033-0196-0014, contenida en una superficie mayor registrada en las oficinas de Derechos Reales bajo la matrícula de folio real N 2.01.0.99.0057016.",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00569.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.5086721,-68.1529591
lp_27,00570,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Mary Estela Mamani Calle con No. de cedula de identidad No. 4891582 QR del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001-0886-0023 signado como PM - 37, Manzano ""B"", inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 176,90 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954.",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00570.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.4511891,-68.1454647
lp_28,00571,"BIENES MUNICIPALES.- RATIFICAR la adjudicación efectuada mediante Ordenanza Municipal GAMLP N°669/2013 de 10 de enero de 2014 (Anexo II), de los predios: AF2, Manzana C1 con una superficie de 306,5m2, Código Catastral N° 006-1986-0002 con las siguientes colindancias: Al Norte con AF-1 y AF-3, al Sur con AF-1, al Este con AF-1 y al Oeste con la calle Fausto Reynaga y AR-2, Manzana F, con una superficie de 346,9m2, Código Catastral N° 006-0573-0010 con las siguientes colindancias: Al Norte con AR-3, al Sur con el Lote 4, al Este con el Lote 6 y al Oeste con la Calle S/N2; inmersos en la Planimetría de la Sustitución Parcial de la Unidad Vecinal El Carmen La Unión; predios registrados en las Oficinas de Derechos Reales a nombre del Gobierno Autónomo Municipal de La Paz dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0126875.",La Paz,10/10/2025,10/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00571.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.4663936,-68.1176211
lp_29,00573,"IMPUESTOS, TASAS Y PATENTES.- La presente Ley tiene por objeto establecer un periodo voluntario de regularización y condonación tributaria que beneficie a los sujetos pasivos, terceros responsables del Impuesto Municipal a la Propiedad de Bienes Inmuebles (IMPBI); Impuesto Municipal a la Propiedad de Vehículos Automotores Terrestres (IMPVAT); Impuesto Municipal a las Transferencias (IMT); Impuesto Municipal a las Transferencias Onerosas (IMTO); y, Patentes Municipales.",La Paz,26/09/2025,02/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00573.pdf,impuestos,"Condonación de multas, intereses y deudas tributarias",,
lp_30,00574,"PATRIMONIO TANGIBLE E INTANGIBLE.- Se Declara Patrimonio Histórico, Arquitectónico y Urbano del Municipio de La Paz, al inmueble ubicado en el Macrodistrito VII Centro, Distrito Municipal ?° 1, Zona Central.",La Paz,15/10/2025,15/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00574.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,-16.4984613,-68.1391624
lp_31,00575,"CONCURSOS CULTURALES Y OTROS.- Se Dispone la suspensión de la elaboración de la convocatoria pública y el desarrollo del concurso del Fondo Editorial Municipal"" Pensamiento Paceño"" correspondiente a la gestión 2025.",La Paz,22/10/2025,22/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00575.pdf,administracion publica,Gestión o modificaciones presupuestarias,,
lp_32,00577,"HONORES,DISTINCIONES Y HOMENAJES.- Se Declara Patrimonio Cultural Inmaterial del Municipio de La Paz a la gaseosa ""PAPAYA SALVIETTI""",La Paz,05/11/2025,05/11/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00577.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,,
